betray	trahir, dénoncer
plumber	plombier
thoughtful	prévenant, pensif, pensive, réfléchi
recycling	recyclage, de recyclage
documentation	documents, documentation
thorough	rigoureux, rigoureuse, minutieux, minutieuse, complet, complète
suffering	souffrance, souffrant
viewing	visionnage, visite
usage	usage, utilisation
goat	chèvre, pervers
characterise	caractériser, définir  comme étant , décrire  comme étant
governmental	gouvernemental
salesman	vendeur (dans un magasin), vendeur, commercial, représentant (de commerce)
chef	chef, chef cuisinier
metaphor	métaphore
washing	lessive, pour la lessive, lavage
knot	nœud, nouer
harassment	harcèlement, brimade, tracasserie
stride	pas, marcher à grands pas
cart	transporter, charrette à bras, panier, charrette, Caddie, caddie
persistent	persistant, continu, persistant, répété, tenace
kneel	s'agenouiller
continuity	enchaînements, continuité
fascinate	fasciner, captiver
sickness	nausée, maladie
underwater	sous l'eau, immergé, aquatique, sous-marin
recreation	recréation, reconstitution, récréation
rehearsal	répétition
clarify	clarifier
pudding	entremets, dessert
spider	araignée, robot
scar	marquer, laisser une cicatrice, cicatrice
imaginative	créatif, créative, imaginatif, imaginative
liaison	intermédiaire, liaison, aventure, liaison
cunt	chatte, salope, pute, con
pearl	perles, de perles, en perles, perle
mug	mug, agresser
cruise	de croisière, faire une croisière, croisière, maintenir sa vitesse
electoral	électoral
printing	écriture en script, écriture en caractère d'imprimerie, imprimerie, tirage, imprimé, impression
ID	identité, identifier, papiers, contrôler l'identité de
tolerate	tolérer
homosexual	homosexuel, homosexuelle
dancing	danse
memorable	mémorisable, mémorable
sour	aigre, acerbe, aigre, acide, dégrader, tourner, tourné
grind	hacher, boulot pénible, boulot répétitif, grincer, moudre, broyer, réduire en poudre
sovereign	souverain, souverain, souveraine
fusion	fusion
melon	au melon, melon
shrink	rétrécir
weed	désherber, le tabac, herbe, se débarrasser de, mauvaise herbe
bourgeois	bourgeois, bourgeoise, bourgeois
quest	quête, se mettre en quête de, être en quête de
compliance	conformité (avec ), souplesse, complaisance, déférence
fatigue	lasser, treillis, fatigue, lassitude, fatigue
robot	automatique, robot
lightning	éclair
melody	mélodie
athletics	athlétisme, de sport, sportif, sport, athlétique
confirmation	confirmation
ideally	parfaitement, idéalement, idéalement
clarity	clarté
feminine	féminin
ant	fourmi
grown-up	d'adulte, adulte, comme un grand, comme une grande
keyboard	à clavier, taper (avec/sur un clavier), clavier
cereal	céréale, céréales, de céréales
clearance	compensation, autorisation, habilitation, espace, dégagement, dégagement, espace, liquidation, enlèvement, autorisation
irrelevant	hors de propos, sans rapport avec
knight	cavalier, chevalier, faire chevalier
fragile	fragile
humble	rendre humble, humble, humble, modeste
staircase	escalier
steer	diriger  (vers ), amener  (vers ), conduire
depart	quitter, dévier de, partir, partir pour
commentary	commentaires, commentaire
notify	informer  de , informer  que
indoor	d'intérieur, à l'intérieur
darts	fléchette, foncer, fléchettes
problematic	problématique, problématique, difficile
rejoice	se réjouir de faire, se réjouir de, prendre plaisir à faire , prendre du plaisir à faire, se réjouir
kindly	gentiment, gentil, gentille, kindly + [base verbale] : ayez la gentillesse de, ayez l'amabilité de + [inf]
loyal	loyal
merger	fusion
passive	passif, passif, passive
wanker	connard
tumble	chute, rouler, course, tomber, chuter, faire une chute
jug	nichons, nibards, pichet
feast	plaisir, bien manger, festin
individually	individuellement, individuellement, séparément
tame	réservé, apprivoiser, domestiquer, apprivoisé, fade, insipide, maîtriser, contrôler, discipliner
enhanced	améliorer
sharpen	rendre plus net, tailler, aiguiser, affûter, perfectionner, développer, améliorer
conductor	contrôleur, contrôleuse, animateur, animatrice, conducteur, chef d'orchestre
armchair	fauteuil
conspiracy	conspiration, complot
herd	foule, troupeau, la masse, rassembler
programming	programmation
cardigan	gilet
worldwide	mondial, dans le monde entier
learner	élève, débutant, débutant, débutante
exhaust	gaz d'échappement, épuiser, pot d'échappement, échappement, épuiser, éreinter, exténuer
pronoun	pronom
tuition	frais de scolarité, cours
cauliflower	chou-fleur
duvet	couette
fitting	équipement, essayage, approprié, pièce
brochure	brochure
doubtful	incertain, douteux, douteuse, pas sûr (de )
credibility	crédibilité, crédulité
stink	odeur de , mauvaise odeur de, puanteur, puer, empester
situate	situer, placer, installer
continuously	en continu
opt	opter pour, choisir de faire , décider de faire
morality	moralité
sexuality	sexualité, sexe
amend	amender, modifier
syndrome	syndrome
polish	cirer, cirage
sketch	faire un croquis de, faire une esquisse de, sketch, faire un croquis, faire une esquisse, croquis
shocking	bouleversant, troublant, vif, vive, scandaleux, scandaleuse
outset	début, commencement
stumble	trébucher
viable	viable
Thai	thaïlandais, thaï, Thaïlandais, Thaïlandaise, nourriture thaï
methodology	méthodologie
confrontation	conflit, affrontement
colourful	haut en couleur, coloré, vif, vive
donor	donateur, donatrice, donneur, donneuse
survivor	survivant, survivante, battant, battante
attain	atteindre
bump	bruit sourd, coup, choc, secousse, toucher, heurter, bosse
harvest	moissonner, moisson
driving	conduite, battant, de conduite, moteur, motrice
formidable	redoutable, impressionnant
mattress	matelas
curiously	curieusement, bizarrement, avec curiosité
unacceptable	inadmissible, intolérable, inacceptable
stairs	marche, escalier
screening	tri, dépistage, projection, sélection
constructive	constructif, constructive
undress	d'uniforme ordinaire, uniforme ordinaire, nudité, déshabiller, se déshabiller
ie	c'est-à-dire
meadow	prairie, champ
backing	soutien, appui, accompagnement, pièce de renfort
varied	modifié, divers, varié
textbook	manuel, manuel scolaire, parfait, typique, classique
entail	impliquer
paradise	paradis
trustee	fidéicommissaire, curateur, fiduciaire
untie	défaire, détacher
momentum	élan
postgraduate	de troisième cycle universitaire, étudiant de troisième cycle (universitaire), étudiante de troisième cycle (universitaire)
ongoing	en cours
coincidence	coïncidence, coïncidence, concomitance, simultanéité
corps	corps
mandatory	obligatoire
starter	entrée, démarreur
academy	école, collège (privé), lycée (privé)
applaud	applaudir
interactive	interactif, interactive, qui interagit avec les autres
journalism	journalisme
fatal	fatal, fatidique
